Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
03-JUL-2017,11.7325,11.75,10.455,11.2,11.7325,-0.53,-4.54
04-JUL-2017,11.2,11.645,10.42,11.275,11.2,0.08,0.67
05-JUL-2017,11.275,11.42,10.45,11.1525,11.275,-0.12,-1.09
06-JUL-2017,11.1525,11.175,10.2875,10.9825,11.1525,-0.17,-1.52
07-JUL-2017,10.9825,11.125,9.615,10.8675,10.9825,-0.12,-1.05
10-JUL-2017,10.8675,11.0925,9.57,10.9125,10.8675,0.05,0.41
11-JUL-2017,10.9125,11.0775,9.8975,10.89,10.9125,-0.02,-0.21
12-JUL-2017,10.89,11.3,9.6725,11.0525,10.89,0.16,1.49
13-JUL-2017,11.0525,11.395,9.86,11.2475,11.0525,0.20,1.76
14-JUL-2017,11.2475,11.4775,10.065,11.1725,11.2475,-0.08,-0.67
17-JUL-2017,11.1725,11.5675,10.48,11.4575,11.1725,0.29,2.55
18-JUL-2017,11.4575,11.79,10.285,11.49,11.4575,0.03,0.28
19-JUL-2017,11.49,11.685,9.0775,11.255,11.49,-0.24,-2.05
20-JUL-2017,11.255,11.5675,10.37,11.315,11.255,0.06,0.53
21-JUL-2017,11.315,11.715,9.0075,11.085,11.315,-0.23,-2.03
24-JUL-2017,11.085,11.795,10.3575,11.3125,11.085,0.23,2.05
25-JUL-2017,11.3125,11.5125,10.235,10.9125,11.3125,-0.40,-3.54
26-JUL-2017,10.9125,11.775,10.9075,11.17,10.9125,0.26,2.36
27-JUL-2017,11.17,11.915,10.81,11.2175,11.17,0.05,0.43
28-JUL-2017,11.2175,12.015,10.9825,11.1375,11.2175,-0.08,-0.71
31-JUL-2017,11.1375,12.0325,11.1375,11.9,11.1375,0.76,6.85
01-AUG-2017,11.9,12.3925,11.5875,11.9075,11.9,0.01,0.06
02-AUG-2017,11.9075,12.1725,10.9225,11.9425,11.9075,0.04,0.29
03-AUG-2017,11.9425,12.2325,11.2075,11.6425,11.9425,-0.30,-2.51
04-AUG-2017,11.6425,11.745,10.745,11.39,11.6425,-0.25,-2.17
07-AUG-2017,11.39,12.0025,10.64,11.895,11.39,0.51,4.43
08-AUG-2017,11.895,13.045,10.485,12.77,11.895,0.88,7.36
09-AUG-2017,12.77,13.6775,10.515,13.4525,12.77,0.68,5.34
10-AUG-2017,13.4525,14.1675,12.23,13.8025,13.4525,0.35,2.60
11-AUG-2017,13.8025,15.5425,11.67,15.195,13.8025,1.39,10.09
14-AUG-2017,15.195,15.195,11.8575,14.3825,15.195,-0.81,-5.35
16-AUG-2017,14.3825,14.7,12.62,14.2375,14.3825,-0.15,-1.01
17-AUG-2017,14.2375,14.6225,10.7925,14.34,14.2375,0.10,0.72
18-AUG-2017,14.34,14.89,11.1675,14.57,14.34,0.23,1.60
21-AUG-2017,14.57,14.965,13.145,14.815,14.57,0.25,1.68
22-AUG-2017,14.815,14.815,11.1625,14.105,14.815,-0.71,-4.79
23-AUG-2017,14.105,14.105,12.2625,13.1825,14.105,-0.92,-6.54
24-AUG-2017,13.1825,13.195,11.9425,12.5725,13.1825,-0.61,-4.63
28-AUG-2017,12.5725,13.6775,11.365,12.64,12.5725,0.07,0.54
29-AUG-2017,12.64,13.8525,12.28,13.5425,12.64,0.90,7.14
