regime,n,accuracy,macro_precision,macro_recall,macro_f1,sharpe_like,max_drawdown_bps,mean_pnl_bps_per_day
aggregate,2880,0.3350694444444444,0.3486220935088445,0.3568071683006542,0.331789118576338,-0.1250362064439245,-4572.171025390713,-0.7221544560726072
regime_0,1394,0.3012912482065997,0.3300948913163411,0.3329666166038134,0.29349656747291736,-0.12858183792525338,-1811.6619511346805,-0.4152863050784298
regime_1,871,0.3421354764638347,0.3378139378407661,0.34288821531812186,0.33045179966519456,-0.3472891623310831,-3480.6126104689565,-1.8643965894680141
regime_2,615,0.4016260162601626,0.3662653364963632,0.36395788817663816,0.3540676996091949,0.020862208870130267,-3674.3969882214187,0.1999897645802661
