regime,n,accuracy,macro_precision,macro_recall,macro_f1,sharpe_like,max_drawdown_bps,mean_pnl_bps_per_day
aggregate,2880,0.29375,0.34508761986985403,0.33284872120458936,0.28596698747096794,0.26418885213149795,-2004.941935950114,1.29553951811304
regime_0,1389,0.2886969042476602,0.2864551056024504,0.30621358192580167,0.2372813437064966,0.18768916695549095,-1653.9334778353793,0.44832130915221746
regime_1,295,0.3728813559322034,0.35653403457001653,0.3145401902132229,0.2923363257080008,1.3109899448695506,-1273.5434360423853,6.613867728021396
regime_2,1196,0.2801003344481605,0.32642519461254255,0.33449065998652205,0.27219223578369217,0.14422833923466233,-3346.599940332433,0.967679376243154
