comparison,window,vs,jm_k3_interior_ari,n_interior,mean_drift,median_drift,max_drift,note
full_sample,2016-12-31,full-sample,0.4381,1424,0.8270253400264694,0.7426571925373755,1.560213387506784,reproduction check
full_sample,2018-12-31,full-sample,0.5878,1918,0.29092600122619994,0.28272368212231874,0.5383604976390414,NEW
full_sample,2020-06-30,full-sample,0.5594,2286,0.32664845000726905,0.31838075154523865,0.48300506351724554,reproduction check
full_sample,2022-12-31,full-sample,0.9687,2909,0.3576674556973574,0.35580033338411954,0.4568316435079455,NEW
consecutive,2016-12-31,2018-12-31,0.9828,1424,0.7279087142339477,0.6766940075440104,1.3232521244841744,
consecutive,2018-12-31,2020-06-30,0.9527,1918,0.25978466222857083,0.23412870592621704,0.6903407823062284,
consecutive,2020-06-30,2022-12-31,0.5484,2286,0.35062309671558145,0.35008485733907857,0.4765284380044109,COVID->2022 (design-flagged)
consecutive,2022-12-31,full-sample,0.9687,2909,0.3576674556973574,0.35580033338411954,0.4568316435079455,
