regime,n,accuracy,macro_precision,macro_recall,macro_f1,sharpe_like,max_drawdown_bps,mean_pnl_bps_per_day
aggregate,2880,0.3350694444444444,0.3486220935088445,0.3568071683006542,0.331789118576338,-0.12503620644392405,-4572.171025390716,-0.7221544560726068
regime_0,1389,0.30165586753059753,0.32994908308967924,0.3320625958844453,0.29187454637792687,-0.42938324942474754,-3071.0250848033506,-1.2987366313922815
regime_1,295,0.30847457627118646,0.3581897515830628,0.3782481975763154,0.28783181208148007,-0.05911214288584889,-1813.843307891869,-0.3590616120665767
regime_2,1196,0.3804347826086957,0.35367507630519013,0.35394581068907205,0.3507210112103925,-0.018243694069120266,-4406.316375837747,-0.14208735528895458
