Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JUL-2011,18.41,18.43,17.79,18.21,18.41,-0.20,-1.09
04-JUL-2011,18.21,18.71,17.84,18.17,18.21,-0.04,-0.22
05-JUL-2011,18.17,18.52,17.78,18.25,18.17,0.08,0.44
06-JUL-2011,18.25,18.49,18.12,18.34,18.25,0.09,0.49
07-JUL-2011,18.34,18.62,17.35,18.62,18.34,0.28,1.53
08-JUL-2011,18.62,18.79,18.02,18.67,18.62,0.05,0.27
11-JUL-2011,18.67,19.71,18.6,19.69,18.67,1.02,5.46
12-JUL-2011,19.69,21.22,19.41,20.83,19.69,1.14,5.79
13-JUL-2011,20.83,20.83,19.5,19.52,20.83,-1.31,-6.29
14-JUL-2011,19.52,20.29,17.85,19.97,19.52,0.45,2.31
15-JUL-2011,19.97,20.26,19.08,19.95,19.97,-0.02,-0.10
18-JUL-2011,19.95,20.4,19.29,20.2,19.95,0.25,1.25
19-JUL-2011,20.2,20.2,19.08,19.25,20.2,-0.95,-4.70
20-JUL-2011,19.25,19.46,18.48,19.11,19.25,-0.14,-0.73
21-JUL-2011,19.11,19.16,18.64,18.75,19.11,-0.36,-1.88
22-JUL-2011,18.75,18.75,17.27,17.91,18.75,-0.84,-4.48
25-JUL-2011,17.91,19.23,16.55,19.2,17.91,1.29,7.20
26-JUL-2011,19.2,19.59,18.41,19.3,19.2,0.10,0.52
27-JUL-2011,19.3,19.36,18.13,18.25,19.3,-1.05,-5.44
28-JUL-2011,18.25,19.04,18.25,18.51,18.25,0.26,1.42
29-JUL-2011,18.51,19.88,18.39,19.77,18.51,1.26,6.81
01-AUG-2011,19.77,19.77,18.58,18.78,19.77,-0.99,-5.01
02-AUG-2011,18.78,19.51,18.38,19.15,18.78,0.37,1.97
03-AUG-2011,19.15,19.99,18.98,19.48,19.15,0.33,1.72
04-AUG-2011,19.43,20.28,19.26,20.22,19.43,0.79,4.07
05-AUG-2011,20.22,26.4,19.84,24.9,20.22,4.68,23.15
08-AUG-2011,24.9,29.65,24.9,28.78,24.9,3.88,15.58
09-AUG-2011,28.78,37,28.78,34.88,28.78,6.10,21.20
10-AUG-2011,34.88,34.88,26.09,28.95,34.88,-5.93,-17.00
11-AUG-2011,28.95,29.49,27.4,29.09,28.95,0.14,0.48
12-AUG-2011,29.09,29.09,25.65,27.02,29.09,-2.07,-7.12
16-AUG-2011,27.02,27.13,24.99,26.46,27.02,-0.56,-2.07
17-AUG-2011,26.46,26.46,24.53,25.48,26.46,-0.98,-3.70
18-AUG-2011,25.48,27.87,22.35,27.45,25.48,1.97,7.73
19-AUG-2011,27.45,31.13,25.9,29.19,27.45,1.74,6.34
22-AUG-2011,29.19,30.35,27.03,27.08,29.19,-2.11,-7.23
23-AUG-2011,27.08,29.06,25.23,25.92,27.08,-1.16,-4.28
24-AUG-2011,25.92,29.22,24.93,28.6,25.92,2.68,10.34
25-AUG-2011,28.6,30.34,26.41,27.94,28.6,-0.66,-2.31
26-AUG-2011,27.94,33.26,27.75,33.26,27.94,5.32,19.04
29-AUG-2011,33.26,33.26,25.66,26.07,33.26,-7.19,-21.62
30-AUG-2011,26.07,26.4,24.4,24.88,26.07,-1.19,-4.56
02-SEP-2011,24.88,26.37,24.01,26.09,24.88,1.21,4.86
05-SEP-2011,26.09,28.32,26.09,27.83,26.09,1.74,6.67
06-SEP-2011,27.83,30.5,26.81,28.66,27.83,0.83,2.98
07-SEP-2011,28.66,28.77,27.4,27.86,28.66,-0.80,-2.79
08-SEP-2011,27.86,28.67,26.98,27.64,27.86,-0.22,-0.79
09-SEP-2011,27.64,28.28,26.15,28.15,27.64,0.51,1.85
12-SEP-2011,28.15,32.92,27.31,32.75,28.15,4.60,16.34
13-SEP-2011,32.75,33.71,29.42,32.77,32.75,0.02,0.06
14-SEP-2011,32.77,34.74,31.24,32.45,32.77,-0.32,-0.98
15-SEP-2011,32.45,33.72,29.91,30.79,32.45,-1.66,-5.12
16-SEP-2011,30.79,30.79,28.37,28.45,30.79,-2.34,-7.60
19-SEP-2011,28.45,30.75,27.56,29.6,28.45,1.15,4.04
20-SEP-2011,29.6,29.6,27.01,27.25,29.6,-2.35,-7.94
21-SEP-2011,27.25,28.17,25.99,27.67,27.25,0.42,1.54
22-SEP-2011,27.67,34.92,27.67,33.88,27.67,6.21,22.44
23-SEP-2011,33.88,37.55,33.52,35.16,33.88,1.28,3.78
26-SEP-2011,35.16,38.19,34.47,35.43,35.16,0.27,0.77
27-SEP-2011,35.43,35.43,31.24,32.01,35.43,-3.42,-9.65
28-SEP-2011,32.01,34.11,31.03,32,32.01,-0.01,-0.03
29-SEP-2011,32,32.81,30.5,31.07,32,-0.93,-2.91
30-SEP-2011,31.07,32.52,30.28,31.94,31.07,0.87,2.80
03-OCT-2011,31.94,36.05,31.94,35.07,31.94,3.13,9.80
04-OCT-2011,35.07,39.02,34.79,37.19,35.07,2.12,6.05
05-OCT-2011,37.19,37.19,34.76,35.37,37.19,-1.82,-4.89
07-OCT-2011,35.37,35.37,29.9,33.02,35.37,-2.35,-6.64
10-OCT-2011,33.02,33.71,30.03,30.03,33.02,-2.99,-9.06
11-OCT-2011,30.03,30.95,28.15,30.3,30.03,0.27,0.90
12-OCT-2011,30.3,30.3,28.01,28.41,30.3,-1.89,-6.24
13-OCT-2011,28.41,28.54,27.42,28.24,28.41,-0.17,-0.60
14-OCT-2011,28.24,28.31,25.73,25.98,28.24,-2.26,-8.00
17-OCT-2011,25.98,26.53,25,25.43,25.98,-0.55,-2.12
18-OCT-2011,25.43,26.59,25.33,25.9,25.43,0.47,1.85
19-OCT-2011,25.9,25.9,23.53,24.05,25.9,-1.85,-7.14
20-OCT-2011,24.05,26.54,19.6,25.6,24.05,1.55,6.44
21-OCT-2011,25.6,26.7,24.39,26.3,25.6,0.70,2.73
24-OCT-2011,26.3,26.3,24.58,25.22,26.3,-1.08,-4.11
25-OCT-2011,25.22,25.22,22,22.31,25.22,-2.91,-11.54
26-OCT-2011,22.31,22.69,22.01,22.69,22.31,0.38,1.70
28-OCT-2011,22.69,22.69,20.57,20.89,22.69,-1.80,-7.93
31-OCT-2011,20.27,22.79,20.27,22.66,20.27,2.39,11.79
01-NOV-2011,20.73,24.6,20.73,24.02,20.73,3.29,15.87
02-NOV-2011,24.02,24.92,23.57,24.89,24.02,0.87,3.62
03-NOV-2011,24.89,26.18,24.42,24.66,24.89,-0.23,-0.92
04-NOV-2011,21.13,23.88,21.13,23.43,21.13,2.30,10.88
08-NOV-2011,20.75,24.74,20.75,23.71,20.75,2.96,14.27
09-NOV-2011,23.71,24.82,20.16,24.3,23.71,0.59,2.49
11-NOV-2011,24.3,25.93,24.27,24.74,24.3,0.44,1.81
14-NOV-2011,24.74,25.47,24,25.29,24.74,0.55,2.22
15-NOV-2011,25.29,26.03,24.43,25.97,25.29,0.68,2.69
16-NOV-2011,25.97,27.22,24.93,25.04,25.97,-0.93,-3.58
17-NOV-2011,25.04,27.27,24.73,26.92,25.04,1.88,7.51
18-NOV-2011,26.92,28.23,26.28,26.58,26.92,-0.34,-1.26
