Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JUL-2026,13.6,14.0725,13.15,13.24,13.6,-0.36,-2.65
02-JUL-2026,13.2425,13.2925,12.1925,12.29,13.2425,-0.95,-7.19
03-JUL-2026,12.2875,12.2875,11.65,11.8,12.2875,-0.49,-3.97
06-JUL-2026,11.7975,12.3575,11.7025,11.82,11.7975,0.02,0.19
07-JUL-2026,11.8175,11.935,11.055,11.65,11.8175,-0.17,-1.42
08-JUL-2026,11.6475,15.16,11.335,14.68,11.6475,3.03,26.04
09-JUL-2026,14.68,14.68,13.0675,13.36,14.68,-1.32,-8.99
10-JUL-2026,13.3625,13.3625,12.1275,12.25,13.3625,-1.11,-8.33
13-JUL-2026,12.2525,13.5225,9.475,13.28,12.2525,1.03,8.39
14-JUL-2026,13.28,13.865,11.6575,13.75,13.28,0.47,3.54
15-JUL-2026,13.75,13.8725,13.04,13.27,13.75,-0.48,-3.49
16-JUL-2026,13.27,13.27,12.775,12.88,13.27,-0.39,-2.94
17-JUL-2026,12.8825,13.35,12.81,13.15,12.8825,0.27,2.08
20-JUL-2026,13.15,13.8425,12.8925,12.98,13.15,-0.17,-1.29
21-JUL-2026,12.98,13.08,12.0975,12.6,12.98,-0.38,-2.93
22-JUL-2026,12.6,13.425,11.725,13.29,12.6,0.69,5.48
23-JUL-2026,13.2925,13.74,12.915,13.48,13.2925,0.19,1.41
24-JUL-2026,13.475,14.7675,13.18,14.03,13.475,0.56,4.12
27-JUL-2026,14.03,14.3325,12.6025,12.66,14.03,-1.37,-9.76
28-JUL-2026,12.66,12.82,11.7225,12.56,12.66,-0.10,-0.79
29-JUL-2026,12.5625,12.5625,11.5625,12.01,12.5625,-0.55,-4.40
30-JUL-2026,12.0075,12.3175,11.3025,12.16,12.0075,0.15,1.27
31-JUL-2026,12.155,12.21,11.645,11.76,12.155,-0.40,-3.25
03-AUG-2026,11.755,12.06,11.695,11.93,11.755,0.18,1.49
04-AUG-2026,11.925,12.545,11.4275,12.19,11.925,0.27,2.22
05-AUG-2026,12.19,12.6725,10.805,12.06,12.19,-0.13,-1.07
06-AUG-2026,12.06,12.4325,10.095,12.16,12.06,0.10,0.83
07-AUG-2026,12.1575,12.5475,11.3,12.16,12.1575,0.00,0.02
10-AUG-2026,12.155,12.915,10.815,12.25,12.155,0.10,0.78
11-AUG-2026,12.245,12.455,11.1925,11.86,12.245,-0.39,-3.14
12-AUG-2026,11.855,12.09,11.2575,11.69,11.855,-0.17,-1.39
13-AUG-2026,11.69,12.1975,10.6525,11.42,11.69,-0.27,-2.31
14-AUG-2026,11.4175,11.56,10.825,11.31,11.4175,-0.11,-0.94
17-AUG-2026,11.305,11.775,11.0925,11.33,11.305,0.03,0.22
18-AUG-2026,11.325,11.785,10.14,11.39,11.325,0.07,0.57
19-AUG-2026,11.3875,11.725,10.06,11.32,11.3875,-0.07,-0.59
20-AUG-2026,11.3225,11.3225,9.3325,10.76,11.3225,-0.56,-4.97
21-AUG-2026,10.755,11.35,9.57,11.2,10.755,0.45,4.14
