k,mean_ari,min_ari,max_ari
2,0.9906729851538958,0.9533649257694793,1.0
3,0.884928811199985,0.6763622814999579,1.0
4,0.8901053387238604,0.7939475101072384,1.0
5,0.8611162863255675,0.7266843218000664,1.0
