trade_date,ret_5_under_trunc,DD_log_5_under_trunc,sortino_5_under_trunc,ret_20_under_trunc,DD_log_20_under_trunc,sortino_20_under_trunc,ret_60_under_trunc,DD_log_60_under_trunc,sortino_60_under_trunc,vix_log_under_trunc,vix_chg_5_under_trunc,ret_5_under_full,DD_log_5_under_full,sortino_5_under_full,ret_20_under_full,DD_log_20_under_full,sortino_20_under_full,ret_60_under_full,DD_log_60_under_full,sortino_60_under_full,vix_log_under_full,vix_chg_5_under_full,euclidean_distance
2010-11-24,-1.6826585652837667,1.3480539711552844,-1.1522052859769958,-0.6996251364364385,0.7083500239104318,-0.8073113440973988,0.3763391875071983,0.1542958679744012,0.13631551209919734,1.267654227737116,1.8488500407899149,-1.8357088794291176,1.4561740042165006,-1.163471470818414,-0.8294351117356606,0.8046767565244296,-0.8678867189787229,0.20445924518902633,0.12399161938951185,0.047384897301896906,1.4532429256771138,1.929594272301075,0.3799639776380475
2010-11-25,-2.0219227240686024,1.3483532087635741,-1.3165903802355983,-1.0063963263435132,0.7460107879378762,-1.0258150160030162,0.06718546043731916,0.20537025749233528,-0.16173391847253088,0.7869335426760152,0.1761503996932763,-2.1964080305373566,1.4564781491287084,-1.3239580886933735,-1.1435166707766853,0.843960267765176,-1.0851559397752266,-0.10689363205645534,0.1726112543750935,-0.2626027048653928,0.9654337790303918,0.20455447840575924,0.3851339553759976
2010-11-26,-2.1711721007919653,1.2885184871395585,-1.420516768223362,-1.214705778372357,0.7443914486128596,-1.1784531801445934,-0.1557061789504145,0.21766283305847864,-0.3696887289455334,0.9435756741717268,0.621170748917151,-2.3550871072791257,1.3956621766333543,-1.4254198093642194,-1.3567901449775037,0.8422711534782084,-1.2369317643992375,-0.3313708004059313,0.18431302002906588,-0.47888700688208646,1.124385675356914,0.6634998817784036,0.3961000296369259
2010-11-29,-1.2555257624892713,1.1546033620550635,-1.0039727972985764,-0.7929008575190646,0.6990790034339008,-0.878115048214133,0.18818615999962382,0.18760516483196576,-0.04647470730260314,0.7326166879890268,-0.08793327608050304,-1.3815894701455467,1.259550929805363,-1.0187543912408485,-0.9249335968025966,0.7950062613417617,-0.9382904128333229,0.01496780016533406,0.15569999358892367,-0.14272686269477436,0.9103159957587481,-0.06779259361803308,0.36006945450700456
2010-11-30,-0.8373834808292597,1.0206882837681701,-0.8081232565410971,-0.6119148128444142,0.6538316632161566,-0.7490652287604931,0.3217469004546806,0.15772705354193398,0.08413518275416883,0.6285376292432355,-0.3864319953436048,-0.9370286106151954,1.1234397305424235,-0.827549522269664,-0.7396346477933962,0.7478092794440409,-0.8099696689662216,0.14947861852696884,0.12725789415923106,-0.006885480410071685,0.8047022403944966,-0.37563158425597487,0.346060690903876
2010-12-01,0.05619468600195898,0.8867732462209303,-0.2882300168292082,-0.12320737165091103,0.6086470328376274,-0.37774541561985486,0.73331460465375,0.1280243406890029,0.48128946679074713,0.3526442911087099,-1.158794125267109,0.013006569579863956,0.9873285726872418,-0.31998581599980347,-0.23928128967166074,0.7006777094607441,-0.4407476519457569,0.5639739898046148,0.09898276310780725,0.40617655417528686,0.5247407200704592,-1.172161562909096,0.322264759919889
2010-12-02,0.4435757117848615,0.7528582441395983,-0.025588254327067402,0.11606522931788671,0.5635228113311724,-0.18877903690737133,0.9293741138765763,0.09849299928108765,0.678568655324453,0.2759203203358049,-1.2370727705421516,0.4248626514477643,0.851217450879586,-0.06357273690165914,0.005693186487085978,0.6536091512794237,-0.25284885142888164,0.7614281589211529,0.0708707669892189,0.6113576293203202,0.446885416828574,-1.252889611623888,0.31438098051677
2010-12-03,0.22159400740012364,0.6393726034041305,-0.15915762828724755,0.015473853654799108,0.5258388473817098,-0.2652954048187578,0.8275211402553667,0.07556009886597721,0.5887280877136429,0.23694397014518437,-1.1926210980077567,0.18885595796171545,0.7358707187772056,-0.19397444500800848,-0.09729528548746351,0.6143014404659676,-0.3289329350019329,0.6588506590684543,0.04904007536730828,0.5179185575609763,0.40733434129398616,-1.2070470095553167,0.31558855996199686
2010-12-06,0.17528024436305,0.505477386979571,-0.17763955242757842,0.005444546198234029,0.48083537075940563,-0.27039906341931663,0.8046393226030313,0.04636543523066728,0.576506753779438,0.38476911312236584,-0.5967146923071889,0.13961605277416145,0.5997797070983414,-0.21201806088742117,-0.10756359172252399,0.5673588298891711,-0.3340077601418681,0.6358060727062438,0.02124857550068359,0.5052077062290924,0.5573392382945451,-0.592494200422971,0.3157012769199926
2010-12-07,0.013278734839654024,0.38990275328690094,-0.29381896903099336,-0.07609677245266463,0.4413435344047788,-0.33506748033744804,0.7191080730175948,0.02187909784905878,0.5009610960492004,0.3602285893805654,-0.5920965902450098,-0.032620847146650374,0.4823097239006101,-0.325442223348503,-0.19104804310106796,0.5261653480940549,-0.39831082851325433,0.5496664006886146,-0.0020608912763901603,0.426636117452608,0.5324368525292442,-0.5877315941344289,0.3170751500511185
