,ret_5,DD_log_5,sortino_5,ret_20,DD_log_20,sortino_20,ret_60,DD_log_60,sortino_60,vix_log,vix_chg_5
0,0.295,-0.727,0.392,0.539,-0.827,0.695,0.63,-0.73,0.811,-0.631,-0.05
1,0.709,0.339,0.465,0.937,0.933,0.431,0.615,1.474,0.083,1.008,-0.27
2,-0.306,0.331,-0.42,-0.493,0.261,-0.635,-0.461,0.056,-0.576,-0.024,-0.023
3,-1.0,1.526,-0.73,-1.645,1.506,-1.222,-1.764,1.187,-1.517,1.584,0.602
