,ret_5,DD_log_5,sortino_5,ret_20,DD_log_20,sortino_20,ret_60,DD_log_60,sortino_60,vix_log,vix_chg_5
0,-1.148,1.121,-0.922,-1.467,0.937,-1.262,-1.336,0.6,-1.278,0.846,0.626
1,-0.217,0.047,-0.421,-0.211,-0.149,-0.38,-0.095,-0.314,-0.143,-0.392,-0.062
2,0.527,-0.954,0.747,0.742,-0.915,0.997,0.765,-0.71,0.979,-0.606,-0.122
3,0.76,0.411,0.412,0.719,0.906,0.268,0.308,1.209,-0.096,0.841,-0.419
